problem,depth_min,depth_max,depth_mean,depth_stdev,depth_q25,depth_q50,depth_q75,depth_gini,operation-children_min,operation-children_max,operation-children_mean,operation-children_stdev,operation-children_q25,operation-children_q50,operation-children_q75,operation-children_gini,assembly-nodes-per-manufacturing-nodes,operations_no,machine_no,machine_operations_min,machine_operations_max,machine_operations_mean,machine_operations_stdev,machine_operations_q25,machine_operations_q50,machine_operations_q75,machine_operations_gini,machine_fraction_stdev_min,machine_fraction_stdev_max,machine_fraction_stdev_mean,machine_fraction_stdev_stdev,machine_fraction_stdev_q25,machine_fraction_stdev_q50,machine_fraction_stdev_q75,machine_fraction_stdev_gini,machine_fraction_mean_min,machine_fraction_mean_max,machine_fraction_mean_mean,machine_fraction_mean_stdev,machine_fraction_mean_q25,machine_fraction_mean_q50,machine_fraction_mean_q75,machine_fraction_mean_gini,operation_machines_min,operation_machines_max,operation_machines_mean,operation_machines_stdev,operation_machines_q25,operation_machines_q50,operation_machines_q75,operation_machines_gini,levels_min,levels_max,levels_mean,levels_stdev,levels_q25,levels_q50,levels_q75,levels_gini,operation_mean_acctual_execution_time_min,operation_mean_acctual_execution_time_max,operation_mean_acctual_execution_time_mean,operation_mean_acctual_execution_time_stdev,operation_mean_acctual_execution_time_q25,operation_mean_acctual_execution_time_q50,operation_mean_acctual_execution_time_q75,operation_mean_acctual_execution_time_gini,operation_stdev_acctual_execution_time_min,operation_stdev_acctual_execution_time_max,operation_stdev_acctual_execution_time_mean,operation_stdev_acctual_execution_time_stdev,operation_stdev_acctual_execution_time_q25,operation_stdev_acctual_execution_time_q50,operation_stdev_acctual_execution_time_q75,operation_stdev_acctual_execution_time_gini,machine_mean_acctual_execution_time_min,machine_mean_acctual_execution_time_max,machine_mean_acctual_execution_time_mean,machine_mean_acctual_execution_time_stdev,machine_mean_acctual_execution_time_q25,machine_mean_acctual_execution_time_q50,machine_mean_acctual_execution_time_q75,machine_mean_acctual_execution_time_gini,machine_stev_acctual_execution_time_min,machine_stev_acctual_execution_time_max,machine_stev_acctual_execution_time_mean,machine_stev_acctual_execution_time_stdev,machine_stev_acctual_execution_time_q25,machine_stev_acctual_execution_time_q50,machine_stev_acctual_execution_time_q75,machine_stev_acctual_execution_time_gini
bom_mix_3_4_9_100_30_No1,4,13,6.1875,3.3509948771471834,4.0,4.0,8.5,0.25315656156514643,1,4,1.3488372093023255,0.9228248796941394,1.0,1.0,1.0,0.227746574935709,0.11320754716981132,59,98,0.01694915254237288,0.1864406779661017,0.09339328951919751,0.040523682162930584,0.06779661016949153,0.0847457627118644,0.11864406779661017,0.24406625416340513,0.0026541332052372646,0.01542183973559886,0.00929008456290205,0.0027774039914006616,0.007425596580566291,0.009337098840678543,0.011081099656741058,0.1693168910993113,0.0007363770250368188,0.018409425625920472,0.008366359377750678,0.0039859630946908345,0.005680622764569745,0.007994950557542605,0.011203450452345887,0.26749456396559185,0.01020408163265306,0.29591836734693877,0.09339328951919751,0.07803042585158153,0.030612244897959183,0.061224489795918366,0.14285714285714285,0.445699459996791,0.03389830508474576,0.22033898305084745,0.1271186440677966,0.06111103856718626,0.07203389830508475,0.1271186440677966,0.1822033898305085,0.2648146064939911,420,11520300,646663.7288135593,2146771.285736261,1500.0,6300.0,65100.0,0.9086291823866182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.733213987409371e-18,480,5808300.0,1164736.15520364,1326482.7452390098,100041.42857142858,764522.9166666667,1798515.0,0.5788905929068631,0.0,6641756.765555331,2054714.9605357135,1957791.8565965532,97509.00542359415,1855091.0779988316,3911131.5104635125,0.5284738592417808
bom_mix_3_4_9_100_30_No2,4,10,6.166666666666667,2.714160398109638,4.0,5.0,9.25,0.21171170827854882,1,3,1.2777777777777777,0.6691131580686884,1.0,1.0,1.0,0.1859903236084867,0.14285714285714285,24,88,0.041666666666666664,0.3333333333333333,0.11221590909090909,0.06814628244007798,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.3282026227539957,0.0,0.01592604899899618,0.007688401332218591,0.0036258776505044984,0.005108393827930914,0.007030641975641726,0.010545110163329093,0.26641982151034044,0.0,0.01593521421107628,0.005702598081124727,0.0038833003065280036,0.0029388714733542317,0.005355276907001045,0.008130877742946708,0.3778919583542509,0.011363636363636364,0.32954545454545453,0.11221590909090909,0.09879986926290556,0.028409090909090908,0.06818181818181818,0.20454545454545453,0.46536526743258305,0.08333333333333333,0.4166666666666667,0.25,0.11410886614690961,0.14583333333333331,0.25,0.35416666666666663,0.246913481481521,360,2700300,129520.0,548230.017324528,3000.0,5700.0,27300.0,0.909631073707348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,901380.0,22762.66396103896,95511.67157489575,3000.0,7200.0,20181.75,0.7162311721486398,0.0,1557910.7937234403,30054.97646993126,165490.9941536186,0.0,3072.829218587841,22782.980489830563,0.8420430366815393
bom_mix_4_5_8_100_30_No1,5,13,6.376623376623376,2.4255662288278903,5.0,5.0,7.0,0.1686460152884328,1,5,1.5387323943661972,1.213257076545563,1.0,1.0,1.0,0.2977648306180744,0.14659685863874344,438,100,0.00684931506849315,0.1324200913242009,0.0693835616438356,0.024625943014317878,0.0502283105022831,0.0684931506849315,0.0821917808219178,0.19539623039306045,0.007800860996198029,0.05416044633899966,0.03729987443787412,0.00820429315919765,0.032402333663386906,0.037942600520452535,0.04180593657417885,0.12087801140475342,0.00393939393939394,0.07747474747474747,0.03753131313131313,0.014238015412363447,0.027878787878787878,0.03681818181818182,0.04595959595959596,0.21223971870674588,0.01,0.29,0.06938356164383562,0.06612749563395581,0.02,0.05,0.09,0.48914196241140195,0.0045662100456621,0.02968036529680365,0.017123287671232876,0.008231852227086733,0.009703196347031963,0.017123287671232876,0.02454337899543379,0.2648132683053279,360,8398380,111636.43835616438,614799.2078608839,1470.0,5100.0,24060.0,0.9119688430030062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5211825128145977e-17,5115,615797.1428571428,86875.33770253714,89747.01121237096,36255.033936651584,60059.40540540541,100475.96739130435,0.4588654044299583,6033.12378529528,2240279.7865769034,313128.82915694546,419174.0075469131,71901.16295283749,165118.53060508764,322586.3260701953,0.577078984878767
bom_mix_4_5_8_100_30_No2,5,13,6.882352941176471,2.660197143325044,5.0,5.0,9.25,0.18929109830542348,1,5,1.3928571428571428,0.9819805060619657,1.0,1.0,1.0,0.24633697865126455,0.14563106796116504,118,99,0.00847457627118644,0.2033898305084746,0.07661359356274611,0.03246085774430769,0.05084745762711865,0.07627118644067797,0.09322033898305085,0.2327630842563098,0.002234047366679914,0.025499644121109936,0.014054446265672357,0.004471983341461837,0.010754610639330312,0.014066927532702755,0.017038583200851064,0.17846159707625575,0.0005153576582148012,0.03318903318903319,0.012060410328808597,0.005468235636656902,0.008348794063079777,0.011750154607297465,0.015151515151515152,0.24976772644968598,0.010101010101010102,0.29292929292929293,0.07661359356274611,0.07044544376075737,0.020202020202020204,0.06060606060606061,0.12121212121212122,0.4805693945143673,0.01694915254237288,0.11016949152542373,0.0635593220338983,0.03055551928359313,0.036016949152542374,0.0635593220338983,0.09110169491525424,0.26481439817349506,360,415020,21559.830508474577,53430.6383181236,1740.0,3180.0,15420.0,0.7851887487426898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338316923268788e-17,1190,74620.0,19398.269034243633,14870.368315114965,7663.636363636364,15161.25,26713.333333333332,0.4053892039643975,0.0,166801.94531239735,36110.61171345467,36326.32005231852,9097.230347748704,23442.64645314758,47267.50427090476,0.5098439904594047
bom_mix_5_4_5_100_30_No1,6,11,6.634146341463414,1.288462628725316,6.0,6.0,7.0,0.07851107804500031,1,4,1.7770700636942676,1.0895701699826503,1.0,1.0,3.0,0.30290161069739113,0.28440366972477066,280,100,0.014285714285714285,0.16071428571428573,0.07317857142857143,0.027912195388612483,0.05357142857142857,0.07142857142857142,0.08928571428571429,0.21112221027711625,0.005897146324819724,0.04220499491230049,0.027023904124236244,0.006894866365940001,0.022898450082257254,0.02714604355821385,0.03160008442568326,0.14227317945020226,0.0028282828282828283,0.049494949494949494,0.025826262626262628,0.010595282467875038,0.017196969696969697,0.026111111111111113,0.03262626262626263,0.2325663710860945,0.01,0.29,0.07317857142857143,0.06726268707999024,0.02,0.055,0.1,0.4812811522616897,0.007142857142857143,0.039285714285714285,0.023214285714285715,0.010813036978919612,0.013392857142857144,0.023214285714285715,0.03303571428571428,0.25384506035973997,360,3110700,90005.57142857143,285266.665998918,6780.0,21900.0,61740.0,0.7801951375790516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10074,289225.71428571426,83989.52350077107,58077.035242345795,45820.90909090909,64605.17857142857,101769.47692307692,0.344093296352102,9080.638744053196,822477.196594946,178397.89076189735,194232.5118344795,67116.61449549874,100925.19051994573,178027.0726812579,0.4983108444966619
bom_mix_5_4_5_100_30_No2,6,11,6.888888888888889,1.676316152249899,6.0,6.0,7.0,0.10306488037062203,1,4,1.6019417475728155,0.9634477083731452,1.0,1.0,2.0,0.27890554304849136,0.25757575757575757,166,100,0.024096385542168676,0.14457831325301204,0.07174698795180723,0.028269718653471797,0.05421686746987952,0.06927710843373494,0.09036144578313253,0.2208309264657112,0.0072074997015644715,0.02259773431943747,0.015054786332572435,0.0034202904225120573,0.012778269458447912,0.015118919789733688,0.017336565413161947,0.1281065279597764,0.0036363636363636364,0.029595959595959596,0.013696969696969697,0.0053416732090072585,0.009772727272727273,0.014191919191919193,0.01707070707070707,0.21839958543075524,0.01,0.29,0.07174698795180723,0.06132839440723645,0.0275,0.055,0.0925,0.44467480736755616,0.012048192771084338,0.06626506024096386,0.0391566265060241,0.01823885755480417,0.022590361445783136,0.0391566265060241,0.05572289156626506,0.2538455055637858,480,311340,21044.819277108432,45183.03318889691,2460.0,6780.0,17580.0,0.7210494906218943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2620,81030.0,18269.876649387876,13983.40369076152,9107.382352941177,13722.5,24781.630434782608,0.3824750181120737,1182.2690049223147,153545.90844434767,30359.830473497957,28504.920242662552,10066.77118331896,18143.610076122764,42608.96778141968,0.4765323773379137
bom_mix_2_10_5_80_30_No1,3,8,5.2592592592592595,1.9921498358961278,3.0,4.0,7.0,0.20657276602525965,1,9,1.393939393939394,1.6443730428229186,1.0,1.0,1.0,0.2681159227945823,0.0449438202247191,93,79,0.021505376344086023,0.21505376344086022,0.10099360283108752,0.04101438423321077,0.07526881720430108,0.0967741935483871,0.12903225806451613,0.22614191672232362,0.006007989196826878,0.029490969148557512,0.017132884808444798,0.004949518583955392,0.013736689250848456,0.017518813177858195,0.020230521576304644,0.16201130837204114,0.0034079844206426485,0.03992210321324245,0.018426534209261335,0.007947580383584113,0.01346965271015904,0.019311911716975008,0.02353132099967543,0.23886807132643956,0.012658227848101266,0.34177215189873417,0.10099360283108752,0.08126633916410572,0.03164556962025317,0.0759493670886076,0.1518987341772152,0.44213502869599286,0.021505376344086023,0.08602150537634409,0.053763440860215055,0.02322846128461599,0.03225806451612903,0.053763440860215055,0.07526881720430108,0.22857100342936218,360.0,1440300,29196.19163679809,152505.85446756482,840.0,1920.0,8220.0,0.8961042546827507,0.0,48.0,0.8456562948765318,5.876141861519441,0.0,0.0,0.0,0.9808671863231856,630.0,481460.0,18036.1924839866,56448.931685370386,3622.5,6013.333333333333,13821.0,0.6874216967275121,150.99668870541498,830380.7541122326,35844.76821327613,106797.67290131458,3931.457744908369,9166.77478724115,28465.266554170892,0.7445466628902051
bom_mix_2_10_5_80_30_No2,3,8,5.222222222222222,1.6647047275914608,4.0,5.0,6.25,0.17139479577234557,1,9,1.3953488372093024,1.7062843910187804,1.0,1.0,1.0,0.26899222878423906,0.05172413793103448,61,80,0.01639344262295082,0.19672131147540983,0.08852459016393442,0.04392631083428957,0.05327868852459017,0.08196721311475409,0.11475409836065574,0.2796293137520715,0.0035749044151431424,0.017724941855419278,0.010687800693316781,0.0036428388907313388,0.007554086557518957,0.010624654395875052,0.013202665046650582,0.19433755098582917,0.0011075949367088608,0.022151898734177215,0.009560917721518987,0.00504201429794597,0.00514240506329114,0.00949367088607595,0.012341772151898734,0.29666632200057086,0.0125,0.3125,0.08852459016393442,0.07580454176309338,0.025,0.0625,0.14375,0.4630383354688382,0.03278688524590164,0.13114754098360656,0.0819672131147541,0.03541388359785716,0.04918032786885246,0.08196721311475409,0.11475409836065574,0.22857114971462594,540.0,375300,34068.43278688525,71471.87408922179,3180.0,9300.0,26737.2,0.7381559191671914,0.0,372.0,6.098360655737705,47.6297193350373,0.0,0.0,0.0,0.9836065412480174,1050.0,92640.0,22689.02849025974,19905.279035458978,8368.666666666666,15084.0,32602.5,0.4497242993524316,0.0,142181.18862915726,30135.64450634357,33057.66793561502,9161.635250530253,17224.5519324573,37625.9173093956,0.5481117504184364
bom_mix_2_5_8_80_30_No1,3,10,6.714285714285714,2.8702082220799308,3.0,7.0,9.0,0.21884498154303822,1,3,1.2,0.6102571532587293,1.0,1.0,1.0,0.14999998750000101,0.08823529411764706,37,77,0.02702702702702703,0.2702702702702703,0.10494910494910495,0.05112513359579157,0.08108108108108109,0.10810810810810811,0.13513513513513514,0.25956627311022884,0.0020926794264215145,0.013910012352953732,0.008701333553837384,0.002283789392614987,0.00714026755601829,0.008571566656578789,0.010408783618299026,0.14635665011195145,0.0003417634996582365,0.016917293233082706,0.007123771648720385,0.0035208821372181235,0.004613807245386193,0.006664388243335612,0.009142173615857827,0.27194666197372946,0.012987012987012988,0.2597402597402597,0.10494910494910495,0.0715516700243806,0.03896103896103896,0.1038961038961039,0.14935064935064934,0.37910114831248903,0.05405405405405406,0.2702702702702703,0.16216216216216217,0.07401656182502245,0.0945945945945946,0.16216216216216217,0.22972972972972974,0.24691342798363303,420.0,9331500,336953.5135135135,1547659.2556363163,1380.0,3540.0,30540.0,0.9399434662873459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0936192375978837e-18,480.0,4666980.0,399185.05380333954,960236.0402842157,3864.0,13260.0,188094.0,0.849065966777087,0.0,6596627.44596055,701070.693686492,1648712.6424201867,1901.7884681512962,15169.472634208481,350688.73066194495,0.8487105348643004
bom_mix_2_5_8_80_30_No2,3,8,4.166666666666667,2.041241452319315,3.0,3.0,5.75,0.20666666170666675,1,4,1.5,0.97182531580755,1.0,1.0,2.0,0.25999998266666785,0.23076923076923078,16,68,0.0625,0.25,0.11488970588235294,0.05674049631700681,0.0625,0.125,0.171875,0.25988212673977334,0.0,0.011999153828639596,0.007141742992267852,0.002235833664665061,0.005536893960992854,0.007244013795252408,0.008631831021189973,0.17298716513330487,0.0,0.01514486391571554,0.005577648091721324,0.003565745603752062,0.0024692712906057945,0.005158033362598771,0.008505267778753293,0.355590029960471,0.014705882352941176,0.4117647058823529,0.11488970588235294,0.1124102551175559,0.029411764705882353,0.08088235294117647,0.1323529411764706,0.4844995782915671,0.125,0.5,0.3125,0.13501543121683043,0.1875,0.3125,0.4375,0.22857135542859483,514.5714285714286,39180,5593.410714285715,11034.765936367121,690.0,1200.0,2910.0,0.7283552314295878,0.0,66.57072461421293,4.160670288388308,16.642681153553234,0.0,0.0,0.0,0.9374999774675734,376.0,39180.0,7179.882352941177,10332.581702685395,790.0,1530.0,13170.0,0.6568539498488263,0.0,27322.606025048197,5265.247572471166,9072.636550129433,0.0,212.13203435596427,4765.796431155275,0.7668518563082645
